2,1,6,1,0,331,115,404,331
2,1,6,1,1,275,90,257,275
2,1,6,1,2,247,56,256,247
2,1,6,1,3,254,96,322,254
2,1,6,1,3,2,96,322,2
2,1,6,1,4,358,103,400,358
2,1,6,1,4,12,103,400,12
2,1,6,1,5,497,203,613,497
2,1,6,1,6,1,329,578,496
2,1,6,1,6,1,329,578,17
2,1,6,1,7,529,568,674,596
2,1,6,1,8,836,856,859,745
2,1,6,1,9,1147,1106,1029,845
2,1,6,1,10,1295,1184,939,970
2,1,6,1,11,993,1080,935,864
2,1,6,1,12,808,1037,752,780
2,1,6,1,13,836,1236,913,853
2,1,6,1,14,796,1190,912,934
2,1,6,1,15,695,848,829,863
2,1,6,1,16,603,1058,728,774
2,1,6,1,17,558,1068,741,642
2,1,6,1,18,475,798,681,714
2,1,6,1,19,499,723,742,757
2,1,6,1,20,556,607,767,738
2,1,6,1,21,444,515,752,701
2,1,6,1,22,359,373,611,633
2,1,6,1,23,265,259,443,436
2,2,6,2,0,175,174,331,399
2,2,6,2,1,93,116,275,249
2,2,6,2,2,96,110,247,212
2,2,6,2,3,63,99,2,229
2,2,6,2,4,74,134,12,369
2,2,6,2,5,121,223,497,490
2,2,6,2,6,198,333,17,472
2,2,6,2,7,354,536,596,482
2,2,6,2,8,597,1002,745,736
2,2,6,2,9,898,1038,845,848
2,2,6,2,10,960,1122,970,826
2,2,6,2,11,792,1048,864,805
2,2,6,2,12,566,962,780,747
2,2,6,2,13,719,1056,853,869
2,2,6,2,14,800,1095,934,933
2,2,6,2,15,690,1007,863,757
2,2,6,2,16,647,945,774,774
2,2,6,2,17,551,869,642,764
2,2,6,2,18,477,752,714,839
2,2,6,2,19,506,627,757,934
2,2,6,2,20,461,589,738,1010
2,2,6,2,21,379,477,701,886
2,2,6,2,22,266,367,633,717
2,2,6,2,23,220,244,436,579
2,3,6,3,0,137,143,399,402
2,3,6,3,1,83,102,249,300
2,3,6,3,2,86,89,212,220
2,3,6,3,3,51,95,229,289
2,3,6,3,4,82,135,369,404
2,3,6,3,5,113,212,490,564
2,3,6,3,6,197,336,472,496
2,3,6,3,7,324,490,482,601
2,3,6,3,8,507,769,736,753
2,3,6,3,9,739,1014,848,835
2,3,6,3,10,838,1057,826,824
2,3,6,3,11,687,1021,805,721
